date,interval_start,interval_end,version,os,downloads,total,status
2026-09-17,,2026-09-17T06:29:29Z,v1.10.0,linux,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.10.0,macos,,3,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.10.0,windows,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.10.1,linux,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.10.1,macos,,4,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.10.1,windows,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.0,linux,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.0,macos,,4,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.0,windows,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.1,linux,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.1,macos,,4,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.1,windows,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.2,linux,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.2,macos,,9,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.11.2,windows,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.12.0,linux,,1,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.12.0,macos,,5,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.12.0,windows,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.13.0,linux,,1,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.13.0,macos,,3,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.13.0,windows,,1,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.13.1,linux,,1,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.13.1,macos,,3,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.13.1,windows,,1,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.8.3,linux,,6,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.8.3,macos,,6,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.8.3,windows,,6,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.9.0,linux,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.9.0,macos,,2,baseline
2026-09-17,,2026-09-17T06:29:29Z,v1.9.0,windows,,2,baseline
